nomInstallation,codeEICResourceObject,codeINSEECommune,Latitude,Longitude,commune,codeDepartement,departement,codeRegion,region,dateMiseEnService,filiere,puisMaxRac,nbGroupes
V.COREA3 - ADP A3 DE LA FERME EOLIENNE DE VILLESEQUE DES CORBIERES,17W100P100P3167V,11436,43.01821152,2.857598964,Villes??que-des-Corbi??res,11,Aude,76,Occitanie,2008-01-08 00:00,Eolien,13800,6
Eole Vergnet,17W000000905667R,45160,48.18936897,2.111449959,Greneville-en-Beauce,45,Loiret,24,Centre-Val de Loire,2008-01-07 00:00,Eolien,984,1
SNC MSE ST SAUMONT,17W000000416419X,54018,49.2727571,5.864709183,Anoux,54,Meurthe-et-Moselle,44,Grand-Est,2008-01-07 00:00,Eolien,10250,5
PARC EOLIEN LA PLAINE DU MOULIN,17W000000411405W,76642,49.82689461,0.849728214,Saint-Pierre-le-Viger,76,Seine-Maritime,28,Normandie,2008-01-07 00:00,Eolien,12000,5
CENTRALE EOLIENNE DE SALLEN,17W000000401638F,14664,49.11694484,-0.83988128,Sallen,14,Calvados,28,Normandie,2008-01-06 00:00,Eolien,8000,4
PARC EOLIEN VAUVILLERS 3,17W000000041745I,80781,49.84301275,2.705857687,Vauvillers,80,Somme,32,Hauts-de-France,2008-01-06 00:00,Eolien,12000,6
ENERGIES DES MONTS BERGERONS,17W000000040619S,80268,50.07730323,1.86764272,??pagne-??pagnette,80,Somme,32,Hauts-de-France,2008-01-05 00:00,Eolien,10000,5
"""PARC EOLIEN """"PAYS DE FALAISE""""""",17W000000046604B,14677,48.94048106,-0.213994561,Soulangy,14,Calvados,28,Normandie,2008-01-05 00:00,Eolien,10000,5
PARC EOLIEN OMISSY 1,17W0000001472435,2571,49.88042672,3.297880367,Omissy,2,Aisne,32,Hauts-de-France,2008-01-05 00:00,Eolien,12000,6
ESPI5EA1 - ADP A1 DE LA FERME EOLIENNE DE CHEMIN D'ABLIS,17W100P100P2755J,28164,48.25845986,1.814478584,Fresnay-l'??v??que,28,Eure-et-Loir,24,Centre-Val de Loire,2008-01-05 00:00,Eolien,52000,26
SEPE SOLE DE BELLEVUE,17W000000055980J,62710,50.51514771,1.98923497,Rimboval,62,Pas-de-Calais,32,Hauts-de-France,2008-01-04 00:00,Eolien,10000,5
FERME EOLIENNE HARGICOURT 1,17W000000432413G,80625,49.70689245,2.551176723,Pierrepont-sur-Avre,80,Somme,32,Hauts-de-France,2008-01-04 00:00,Eolien,12000,6
PARC EOLIEN HAMEL AU BRUN,17W000000051239R,50601,49.03198791,-0.982814709,Torigny-les-Villes,50,Manche,28,Normandie,2008-01-03 00:00,Eolien,8000,4
V.COREA1 - ADP A1 DE LA FERME EOLIENNE DE VILLESEQUE DES CORBIERES,17W100P100P06239,11436,43.01821152,2.857598964,Villes??que-des-Corbi??res,11,Aude,76,Occitanie,2008-01-03 00:00,Eolien,9200,4
PARC EOLIEN DES VATINES,17W0000000566215,76511,49.88046844,1.505313607,Preuseville,76,Seine-Maritime,28,Normandie,2007-12-27 00:00,Eolien,12000,5
Agr??gation des installations de moins de 36KW,,,46.65150161,-1.247161841,,85,Vend??e,52,Pays de la Loire,2007-12-26 00:00,Eolien,109,12
MSE MONT DE PONCHE,17W000000040656M,62254,50.60068148,2.184855163,Coyecques,62,Pas-de-Calais,32,Hauts-de-France,2007-12-14 00:00,Eolien,8200,4
Agr??gation des installations de moins de 36KW,,,49.14035026,-0.343686555,,14,Calvados,28,Normandie,2007-12-12 00:00,Eolien,124.6,19
PARC EOLIEN DE MOULIN DE FROIDURE,17W000000054981M,80200,50.05562107,1.960226325,Cocquerel,80,Somme,32,Hauts-de-France,2007-12-10 00:00,Eolien,12000,6
CEFA,17W0000000407016,12062,44.14047008,2.927708028,Castelnau-P??gayrols,12,Aveyron,76,Occitanie,2007-12-07 00:00,Eolien,4600,2
CENTRALE EOLIENNE PATAY SAS,17W0000000566029,45248,48.05094406,1.694125914,Patay,45,Loiret,24,Centre-Val de Loire,2007-12-03 00:00,Eolien,12000,6
PARC EOLIEN DU CLOS BATAILLE,17W000000418458D,76122,49.82408561,1.52206018,Callengeville,76,Seine-Maritime,28,Normandie,2007-11-27 00:00,Eolien,10000,5
PARC EOLIEN DE VARIMPRE,17W000000147375P,76122,49.82408561,1.52206018,Callengeville,76,Seine-Maritime,28,Normandie,2007-11-27 00:00,Eolien,12000,5
MSE LE CHAMP VERT,17W0000000593887,80144,49.71637045,3.09722421,Brouchy,80,Somme,32,Hauts-de-France,2007-11-23 00:00,Eolien,10000,5
FERME EOLIENNE DE BEAUFOU,17W000000153467Y,85015,46.8191122,-1.524792508,Beaufou,85,Vend??e,52,Pays de la Loire,2007-11-20 00:00,Eolien,12000,6
Agr??gation des installations de moins de 36KW,,,47.22906552,5.135539421,,,,27,Bourgogne-Franche-Comt??,2007-11-16 00:00,Eolien,28,5
PARC EOLIEN DE HESCAMPS,17W0000000413431,80436,49.72882007,1.87751507,Hescamps,80,Somme,32,Hauts-de-France,2007-11-15 00:00,Eolien,6000,5
PARC EOLIEN DU CNPE DE CRUAS,17W000000041458L,7076,44.65664209,4.756588244,Cruas,7,Ard??che,84,Auvergne-Rh??ne-Alpes,2007-11-12 00:00,Eolien,6000,2
CEPE PAYS MONTB SNC CENT EOLIENNE,17W0000003931864,25635,47.34826508,6.62592546,Vyt-l??s-Belvoir,25,Doubs,27,Bourgogne-Franche-Comt??,2007-11-12 00:00,Eolien,10000,5
PERFECT WIND STENAY,17W000000421248G,55502,49.5005049,5.197674426,Stenay,55,Meuse,44,Grand-Est,2007-11-12 00:00,Eolien,10000,5
Agr??gation des installations de moins de 36KW,,,47.59602864,1.646159852,,,,24,Centre-Val de Loire,2007-11-12 00:00,Eolien,12079.5,19
PARC EOLIEN LES SOHETTES I2,17W000000423240M,62257,50.5028112,2.038628646,Cr??quy,62,Pas-de-Calais,32,Hauts-de-France,2007-11-08 00:00,Eolien,10000,5
CEPIN,17W000000147167W,12062,44.14047008,2.927708028,Castelnau-P??gayrols,12,Aveyron,76,Occitanie,2007-11-07 00:00,Eolien,2300,1
CEPU,17W000000042202E,12062,44.14047008,2.927708028,Castelnau-P??gayrols,12,Aveyron,76,Occitanie,2007-11-07 00:00,Eolien,11500,5
CENTRALE EOLIENNE DES PLOS (CEPLO),17W0000000537339,12062,44.14047008,2.927708028,Castelnau-P??gayrols,12,Aveyron,76,Occitanie,2007-11-07 00:00,Eolien,11500,5
Agr??gation des installations de moins de 36KW,,,44.69804345,5.133558387,,26,Dr??me,84,Auvergne-Rh??ne-Alpes,2007-11-05 00:00,Eolien,97.4,14
Agr??gation des installations de moins de 36KW,,,48.22212211,-2.778204488,,,,53,Bretagne,2007-11-05 00:00,Eolien,126.8,22
ENR GIE FREIGNE,17W000000061480G,44180,47.53092273,-1.194410755,Vallons-de-l'Erdre,44,Loire-Atlantique,52,Pays de la Loire,2007-11-05 00:00,Eolien,9200,4
CEPE DU LOMONT SOLEMONT,17W000000060571I,25422,47.37481615,6.730466294,Neuch??tel-Urti??re,25,Doubs,27,Bourgogne-Franche-Comt??,2007-10-24 00:00,Eolien,10000,5
PARC EOLIEN OMISSY 2,17W000000166195K,2374,49.91176068,3.276752354,Lehaucourt,2,Aisne,32,Hauts-de-France,2007-10-15 00:00,Eolien,10000,5
LES MOULINS DE BOULAY,17W0000004099275,57097,49.17799013,6.498425664,Boulay-Moselle,57,Moselle,44,Grand-Est,2007-10-08 00:00,Eolien,10000,4
SITE EOLIEN DE BOULAY BUCHFELD,17W000000155845I,57097,49.17799013,6.498425664,Boulay-Moselle,57,Moselle,44,Grand-Est,2007-10-08 00:00,Eolien,10000,4
FERME EOLIENNE DE WELLING SAS,17W000000058636J,57097,49.17799013,6.498425664,Boulay-Moselle,57,Moselle,44,Grand-Est,2007-10-08 00:00,Eolien,10000,4
Agr??gation des installations de moins de 36KW,,,43.60248398,1.89021122,,,,76,Occitanie,2007-09-26 00:00,Eolien,37.5,5
PARC EOLIEN FOND D'ETRE,17W0000000578683,62843,50.49337916,2.179230636,Verchin,62,Pas-de-Calais,32,Hauts-de-France,2007-09-24 00:00,Eolien,8000,4
PERFECT WIND COURCELLES SUR AIRE,17W000000047585L,55128,48.94039255,5.233370351,Courcelles-sur-Aire,55,Meuse,44,Grand-Est,2007-09-15 00:00,Eolien,11500,5
Confidentiel,17W000000059857Z,81062,43.65787487,2.527583903,Fontrieu,81,Tarn,76,Occitanie,2007-09-14 00:00,Eolien,11500,5
Eole la Grange,17W000000905907X,45253,48.17329478,2.206483803,Pithiviers-le-Vieil,45,Loiret,24,Centre-Val de Loire,2007-09-11 00:00,Eolien,10000,5
CEPE DU LOMONT VALONNE,17W000000421781Z,25583,47.342364,6.668203261,Valonne,25,Doubs,27,Bourgogne-Franche-Comt??,2007-09-11 00:00,Eolien,10000,5
CEPE DES TROIS SOURCES BONNET,17W000000041183Y,55059,48.5253805,5.425923341,Bonnet,55,Meuse,44,Grand-Est,2007-08-28 00:00,Eolien,11790,6
CEPE DES TROIS SOURCES HOUDELAINCOURT,17W000000403902E,55248,48.55169991,5.456665192,Houdelaincourt,55,Meuse,44,Grand-Est,2007-08-28 00:00,Eolien,11790,6
CEPE ST FLORE SNC CENT EOLIENNE,17W000000049826F,55059,48.5253805,5.425923341,Bonnet,55,Meuse,44,Grand-Est,2007-08-28 00:00,Eolien,12000,6
FERME EOLIENNE DE GUEHENO,17W0000000566126,56071,47.89224301,-2.651415442,Gu??henno,56,Morbihan,53,Bretagne,2007-08-23 00:00,Eolien,3600,3
PARC EOLIEN LA NOURAIS,17W000000056459P,35124,47.73443382,-1.72820099,Grand-Fougeray,35,Ille-et-Vilaine,53,Bretagne,2007-08-10 00:00,Eolien,10000,5
EOLIENNE DE L'EPINERAIE,17W000000147374R,85020,46.36887321,-0.613959919,Benet,85,Vend??e,52,Pays de la Loire,2007-08-06 00:00,Eolien,10000,5
PARC EOLIEN MONT D'HEZECQUES,17W000000057269P,62453,50.53419093,2.191827738,H??zecques,62,Pas-de-Calais,32,Hauts-de-France,2007-07-31 00:00,Eolien,8200,4
PERFECT WIND LANEUVILLE AU RUPT,17W000000049271Y,55278,48.70740644,5.57588668,Laneuville-au-Rupt,55,Meuse,44,Grand-Est,2007-07-31 00:00,Eolien,10000,5
PARC EOLIEN ST LEGER,17W0000001575777,62005,50.13246955,2.779099639,Achiet-le-Grand,62,Pas-de-Calais,32,Hauts-de-France,2007-07-25 00:00,Eolien,9400,7
CEPE DE MURAT,17W000000419254O,81192,43.69338877,2.860208804,Murat-sur-V??bre,81,Tarn,76,Occitanie,2007-07-23 00:00,Eolien,11700,9
CENTRALE EOLIENNE COAT CONVAL,17W000000157898O,29163,48.51062946,-3.871747499,Pleyber-Christ,29,Finist??re,53,Bretagne,2007-07-11 00:00,Eolien,8100,9
CENTRALE EOLIENNE DU BAMBESCH,17W000000049567D,57047,49.10102139,6.596859448,Bambiderstroff,57,Moselle,44,Grand-Est,2007-07-08 00:00,Eolien,12000,6
ENGIE GREEN KERIGARET 1&2,17W000000046319A,29143,48.0273634,-4.418972272,Mahalon,29,Finist??re,53,Bretagne,2007-07-03 00:00,Eolien,6000,4
PARC EOLIEN DE KERIGARET 2,17W000000149959Q,29070,48.0170524,-4.361315428,Guiler-sur-Goyen,29,Finist??re,53,Bretagne,2007-07-03 00:00,Eolien,6000,4
CENTRALE EOLIENNE SEGUR,17W000000054403P,12266,44.29046699,2.843783465,S??gur,12,Aveyron,76,Occitanie,2007-07-03 00:00,Eolien,12000,6
PARC EOLIEN LES TAMBOURS,17W0000001583893,62234,50.29329434,2.191762404,Conchy-sur-Canche,62,Pas-de-Calais,32,Hauts-de-France,2007-07-01 00:00,Eolien,8350,5
CAP REDOUNDE,17W000000428689P,81023,43.74326219,2.815993084,Barre,81,Tarn,76,Occitanie,2007-06-15 00:00,Eolien,3900,3
FERME EOLIENNE DE ST MARTIN DE CRAU,17W0000000526736,13097,43.61192146,4.857014756,Saint-Martin-de-Crau,13,Bouches-du-Rh??ne,93,Provence-Alpes-C??te d'Azur,2007-06-12 00:00,Eolien,7200,9
ERELIA 2,17W0000000404343,54230,48.61475281,6.868505134,Gogney,54,Meurthe-et-Moselle,44,Grand-Est,2007-06-12 00:00,Eolien,8000,4
LES EOLIENNES DE VAIRE SAS,17W000000055008Q,85298,46.60553406,-1.74863672,Vair??,85,Vend??e,52,Pays de la Loire,2007-06-06 00:00,Eolien,4000,5
PARC EOLIEN DE PLOUVIEN,17W000000160177F,29209,48.53907377,-4.465055174,Plouvien,29,Finist??re,53,Bretagne,2007-06-06 00:00,Eolien,10400,8
PARC EOLIEN DE LA VOIE SACREE 2,17W000000050201K,55442,48.88547592,5.251477738,Raival,55,Meuse,44,Grand-Est,2007-06-02 00:00,Eolien,4000,2
PARC EOLIEN DE VILLER,17W000000047647P,55175,48.8469162,5.274962003,??rize-la-Br??l??e,55,Meuse,44,Grand-Est,2007-06-02 00:00,Eolien,6000,3
SFE PARC EOLIEN RAIVAL,17W000000044949O,55442,48.88547592,5.251477738,Raival,55,Meuse,44,Grand-Est,2007-06-02 00:00,Eolien,12000,6
SITE EOLIEN LANRIVOARE,17W000000052508L,29119,48.466039,-4.635266002,Lanrivoar??,29,Finist??re,53,Bretagne,2007-05-24 00:00,Eolien,2600,2
CENTRALE EOLIENNE DERVAL,17W000000162307I,44051,47.65768025,-1.677729756,Derval,44,Loire-Atlantique,52,Pays de la Loire,2007-05-07 00:00,Eolien,8000,4
ENERGIE EOLIENNE  LUSANGER,17W0000004261095,44086,47.67642684,-1.58177485,Lusanger,44,Loire-Atlantique,52,Pays de la Loire,2007-05-07 00:00,Eolien,8000,4
Agr??gation des installations de moins de 36KW,,,47.55917362,-0.661819201,,,,52,Pays de la Loire,2007-05-04 00:00,Eolien,73.9,17
PARC EOLIEN MONT BEZARD LE HAUT MOULIN,17W000000059157Q,10369,48.67351309,4.093780699,Semoine,10,Aube,44,Grand-Est,2007-04-23 00:00,Eolien,12000,6
Confidentiel,17W000000162766N,51276,48.68472559,4.026724719,Gourgan??on,51,Marne,44,Grand-Est,2007-04-23 00:00,Eolien,12000,6
LES RENARDIERES,17W000000057041I,51276,48.68472559,4.026724719,Gourgan??on,51,Marne,44,Grand-Est,2007-04-23 00:00,Eolien,12000,6
EOLIEN BEAUSEJOUR,17W0000001538029,22275,48.13836377,-2.701884795,Saint-Barnab??,22,C??tes-d'Armor,53,Bretagne,2007-04-19 00:00,Eolien,12000,6
FPARC EOLIEN DU FOND DE PLAINE,17W0000004231684,11210,43.17574428,2.788044569,Luc-sur-Orbieu,11,Aude,76,Occitanie,2007-04-17 00:00,Eolien,4000,2
LUC SUR ORBIEU,17W000000433399G,11210,43.17574428,2.788044569,Luc-sur-Orbieu,11,Aude,76,Occitanie,2007-04-17 00:00,Eolien,12000,6
PLOUARZEL 1,17W0000000502701,29177,48.43881395,-4.720987916,Plouarzel,29,Finist??re,53,Bretagne,2007-04-06 00:00,Eolien,3400,4
PARC EOLIEN PETIT CAUX,17W000000058925C,76618,49.96143653,1.21910748,Petit-Caux,76,Seine-Maritime,28,Normandie,2007-03-22 00:00,Eolien,10000,4
FERME EOLIENNE PUECH DE CAMBERT,17W000000424012U,81023,43.74326219,2.815993084,Barre,81,Tarn,76,Occitanie,2007-02-21 00:00,Eolien,11700,9
PARC EOLIEN LES CAMPAGNES,17W000000045213V,62158,50.29101968,2.236634893,Boubers-sur-Canche,62,Pas-de-Calais,32,Hauts-de-France,2007-02-20 00:00,Eolien,8350,5
Agr??gation des installations de moins de 36KW,,,48.19426208,-1.626680848,,35,Ille-et-Vilaine,53,Bretagne,2007-02-05 00:00,Eolien,137.3,32
PARC EOLIEN LE FLOREMBEAU I1,17W0000000523202,62257,50.5028112,2.038628646,Cr??quy,62,Pas-de-Calais,32,Hauts-de-France,2007-02-05 00:00,Eolien,10000,5
PARC EOLIEN LISLET 1,17W000000046749M,2433,49.67572651,4.020842957,Lislet,2,Aisne,32,Hauts-de-France,2007-02-04 00:00,Eolien,10850,6
Agr??gation des installations de moins de 36KW,,,45.11656957,0.18830154,,,,75,Nouvelle-Aquitaine,2007-02-02 00:00,Eolien,186.7,32
PARC EOLIEN DE BERNAY ST MARTIN,17W000000427273O,17043,46.06668113,-0.62564873,Bernay-Saint-Martin,17,Charente-Maritime,75,Nouvelle-Aquitaine,2007-01-31 00:00,Eolien,12000,8
CENTRALE EOLIENNE LE BERNARD,17W000000160225U,85022,46.44832528,-1.439798653,Le Bernard,85,Vend??e,52,Pays de la Loire,2007-01-23 00:00,Eolien,12500,5
FERME EOLIENNE DE HARGICOURT 2,17W0000000611128,80625,49.70689245,2.551176723,Pierrepont-sur-Avre,80,Somme,32,Hauts-de-France,2007-01-12 00:00,Eolien,4000,2
COL DE COULOUMI,17W0000004273034,11436,43.01821152,2.857598964,Villes??que-des-Corbi??res,11,Aude,76,Occitanie,2007-01-12 00:00,Eolien,4600,2
PARC EOLIEN DE SAINT SERVAIS,17W000000046686K,22328,48.38668992,-3.374244565,Saint-Servais,22,C??tes-d'Armor,53,Bretagne,2007-01-12 00:00,Eolien,5600,7
PARC EOLIEN LE MONT FELIX C1,17W000000056437Z,62247,50.53299873,2.077633472,Coupelle-Vieille,62,Pas-de-Calais,32,Hauts-de-France,2007-01-12 00:00,Eolien,10000,5
PARC EOLIEN DE VAUVILLERS 2,17W0000000474159,80342,49.863313,2.720001594,Framerville-Rainecourt,80,Somme,32,Hauts-de-France,2007-01-12 00:00,Eolien,12000,6
PARC EOLIEN LE MARQUAY D,17W000000047808R,62685,50.54669484,2.117869818,Radinghem,62,Pas-de-Calais,32,Hauts-de-France,2007-01-11 00:00,Eolien,8000,4
PARC EOLIEN LE CHEMIN VERT F2,17W000000048221H,62453,50.53419093,2.191827738,H??zecques,62,Pas-de-Calais,32,Hauts-de-France,2007-01-11 00:00,Eolien,10000,5
LA REPARA,17W000000162321O,26020,44.66147471,4.994278424,La R??para-Auriples,26,Dr??me,84,Auvergne-Rh??ne-Alpes,2007-01-10 00:00,Eolien,2300,1
PARC EOLIEN LE FOND DU MOULIN H,17W000000425087V,62026,50.4655699,2.171201179,Ambricourt,62,Pas-de-Calais,32,Hauts-de-France,2007-01-10 00:00,Eolien,4000,2
PARC EOLIEN LA MARETTE,17W0000000825334,60664,49.61035706,2.292530436,Vendeuil-Caply,60,Oise,32,Hauts-de-France,2007-01-10 00:00,Eolien,11500,5
CENTRALE EOLIENNE DE NIEDERVISSE,17W000000412371I,57507,49.16173296,6.564988855,Niedervisse,57,Moselle,44,Grand-Est,2007-01-10 00:00,Eolien,12000,6
PARC EOLIEN DE BRACHY,17W000000146403E,76136,49.81658948,0.948902356,Brachy,76,Seine-Maritime,28,Normandie,2007-01-10 00:00,Eolien,12000,5
PARC EOLIEN MONTLOUE L1,17W000000055058B,2519,49.6682396,4.062758256,Montlou??,2,Aisne,32,Hauts-de-France,2007-01-06 00:00,Eolien,4600,2
PARC EOLIEN HAUTS-TRAITS,17W000000148198G,76618,49.96143653,1.21910748,Petit-Caux,76,Seine-Maritime,28,Normandie,2007-01-04 00:00,Eolien,10000,4
PARC EOLIEN DES BORNES DE CERQUEUX,17W000000418414X,45326,48.00485887,1.624420494,Tournoisis,45,Loiret,24,Centre-Val de Loire,2007-01-03 00:00,Eolien,11500,5
BEAUSEMBLANT,17W000000044293C,26041,45.21243374,4.840681093,Beausemblant,26,Dr??me,84,Auvergne-Rh??ne-Alpes,2007-01-03 00:00,Eolien,12000,6
Agr??gation des installations de moins de 36KW,,,50.45918872,2.336641429,,62,Pas-de-Calais,32,Hauts-de-France,2007-01-02 00:00,Eolien,103.2,13
PARC EOLIEN LONGCHAMPS,17W0000000432126,80310,50.11788057,2.234406761,Fienvillers,80,Somme,32,Hauts-de-France,2007-01-01 00:00,Eolien,8350,5
PARC EOLIEN DE BENET,17W000000052404X,85020,46.36887321,-0.613959919,Benet,85,Vend??e,52,Pays de la Loire,2006-12-23 00:00,Eolien,11500,5
PARC EOLIEN VOIE SACREE 1,17W000000418697W,55040,48.96723837,5.212667887,Beausite,55,Meuse,44,Grand-Est,2006-12-19 00:00,Eolien,8000,4
SFE PARC EOLIEN LA VALETTE,17W000000048475N,55040,48.96723837,5.212667887,Beausite,55,Meuse,44,Grand-Est,2006-12-19 00:00,Eolien,12000,6
SFE PARC EOLIEN DE MAURECHAMP,17W000000159323S,55177,48.91405371,5.237153617,??rize-la-Petite,55,Meuse,44,Grand-Est,2006-12-19 00:00,Eolien,12000,6
PARC EOLIEN DE COL FAGEOLE 2,17W000000050764D,15055,45.08754928,3.108177427,Coren,15,Cantal,84,Auvergne-Rh??ne-Alpes,2006-12-18 00:00,Eolien,3000,1
PARC EOLIEN DE MELIGNY LE GRAND,17W0000000571367,55330,48.67833274,5.49388673,M??ligny-le-Grand,55,Meuse,44,Grand-Est,2006-12-18 00:00,Eolien,8000,4
